"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"292","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.85,0.015
"293","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.85,0.015
"294","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.85,0.015
"295","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.85,0.015
"296","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.85,0.015
"297","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.85,0.015
"298","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.85,0.015
"299","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.85,0.015
"300","ABIE.BAL",0.18,1,1,0.9,0.015
"301","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.9,0.015
"302","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.9,0.015
"303","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.9,0.015
"304","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.9,0.015
"305","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.9,0.015
"306","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.9,0.015
"307","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.9,0.015
"308","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.9,0.015
"309","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.9,0.015
"310","ABIE.BAL",0.18,1,1,0.95,0.015
"311","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.95,0.015
"312","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.95,0.015
"313","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.95,0.015
"314","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.95,0.015
"315","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.95,0.015
"316","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.95,0.015
"317","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.95,0.015
"318","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.95,0.015
"319","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.95,0.015
"320","ABIE.BAL",0.18,1,1,1,0.015
"321","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,1,0.015
"322","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,1,0.015
"323","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,1,0.015
"324","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,1,0.015
"325","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,1,0.015
"326","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,1,0.015
"327","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,1,0.015
"328","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,1,0.015
"329","ABIE.BAL",1,5.59144650261084,5.59144650261084,1,0.015
"330","ABIE.BAL",0.18,1,1,0.5,0.018
"331","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.5,0.018
"332","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.5,0.018
"333","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.5,0.018
"334","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.5,0.018
"335","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.5,0.018
"336","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.5,0.018
"337","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.5,0.018
"338","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.5,0.018
"339","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.5,0.018
"340","ABIE.BAL",0.18,1,1,0.55,0.018
"341","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.55,0.018
"342","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.55,0.018
"343","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.55,0.018
"344","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.55,0.018
"345","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.55,0.018
"346","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.55,0.018
"347","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.55,0.018
"348","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.55,0.018
"349","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.55,0.018
"350","ABIE.BAL",0.18,1,1,0.6,0.018
"351","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.6,0.018
"352","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.6,0.018
"353","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.6,0.018
